Time,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,IndexId
20:07:23,674.48,378.09,9.33,59.21,0,0,0,31
20:07:23,750.4,381.53,13.99,73.33,0,0,0,32
20:07:23,806.07,383.07,18.91,113.15,0,0,0,33
20:07:23,696.23,382.42,11.15,76.83,0,0,0,34
20:07:23,699.52,381.01,11.22,56.41,0,0,0,35
20:07:23,806.61,378.77,17.59,105.05,0,0,0,36
20:07:23,738.29,377.27,13.13,92.63,0,0,0,37
20:07:23,677.17,379.04,8.67,51.42,0,0,0,38
20:07:23,792.75,382.98,15.36,92.25,0,0,0,39
20:07:23,783.77,379.39,15.63,109.84,0,0,0,40
20:07:23,677.31,376.11,7.35,62.03,0,0,0,41
20:07:23,746.46,378.76,14.93,70.82,0,0,0,42
20:07:23,804.59,377.9,16.65,108.36,0,0,0,43
20:07:23,699.62,383.07,12.71,82.6,0,0,0,44
20:07:23,706.57,377.58,12.31,54.68,0,0,0,45
20:07:23,806.66,378.17,13.74,104.95,0,0,0,46
20:07:23,736.74,379.29,11.53,93.39,0,0,0,47
20:07:23,672.52,375.53,9.88,47.48,0,0,0,48
20:07:23,780.96,375.73,14.02,86.97,0,0,0,49
20:07:23,783,377.68,14.47,104.78,0,0,0,50
20:07:23,673.15,377.1,8.25,56.56,0,0,0,51
20:07:23,745.47,378.85,12.61,66.79,0,0,0,52
20:07:23,802.76,382.45,14.25,113.96,0,0,0,53
20:07:23,701.33,377.57,11.71,76.7,0,0,0,54
20:07:23,701.09,378.43,12.27,53.38,0,0,0,55
20:07:23,804.81,375.08,15.03,103.34,0,0,0,56
20:07:23,739.22,380.1,10.97,93.33,0,0,0,57
20:07:23,677.01,376.04,9.23,47.74,0,0,0,58
20:07:23,788.98,375.66,12.9,87.81,0,0,0,59
20:07:23,782.59,379.15,15.05,112.71,0,0,0,60
20:07:23,680.49,378.08,9.88,61.12,0,0,0,61
20:07:23,749.06,377.9,13.75,70.94,0,0,0,62
20:07:23,804.2,381.76,18.12,111.89,0,0,0,63
20:07:23,702.47,378.27,9,78.88,0,0,0,64
20:07:23,705.86,376.55,13.55,60.26,0,0,0,65
20:07:23,805.06,376.23,13.78,105.92,0,0,0,66
20:07:23,739.19,376.19,10.67,92.01,0,0,0,67
20:07:23,670.91,373.85,9.17,46.33,0,0,0,68
20:07:23,781.24,378.68,16.19,85.22,0,0,0,69
20:07:23,777.83,377.37,17.04,104.64,0,0,0,70
20:07:23,670.65,375.38,6.72,59.5,0,0,0,71
20:07:23,740.22,376.45,12.81,69.87,0,0,0,72
20:07:23,799.75,378.78,13.59,110.71,0,0,0,73
20:07:23,698.99,377.84,11.66,74.99,0,0,0,74
20:07:23,700.4,379.5,8.19,52.83,0,0,0,75
20:07:23,804.32,382,16.82,103.98,0,0,0,76
20:07:23,741.8,381.92,11.27,94.16,0,0,0,77
20:07:23,673.6,382.48,9.17,51.38,0,0,0,78
20:07:23,783.65,383.8,12.96,89.18,0,0,0,79
20:07:23,783.35,378.94,15.07,105.72,0,0,0,80
20:07:23,673.92,378.23,7.09,59.05,0,0,0,81
20:07:23,745.58,379.81,11.9,69.56,0,0,0,82
20:07:23,805.66,378.02,15.85,106.97,0,0,0,83
20:07:23,703.11,382.71,7.74,77.64,0,0,0,84
20:07:23,705.35,380.7,9.31,56.6,0,0,0,85
20:07:23,811,384.81,17.36,104.66,0,0,0,86
20:07:23,747.87,386.43,11.19,99.03,0,0,0,87
20:07:23,678.58,386.47,8.7,50.76,0,0,0,88
20:07:23,790.27,384.81,14.16,92.47,0,0,0,89
20:07:23,788.69,386.83,13.11,109.62,0,0,0,90
20:07:23,678.79,382.95,5.16,59.7,0,0,0,91
20:07:23,749.82,388.73,13.83,75.41,0,0,0,92
20:07:23,806.73,385.74,14.17,113.78,0,0,0,93
20:07:23,701.37,382.56,8.2,79.66,0,0,0,94
20:07:23,703.76,385.77,10.93,59.86,0,0,0,95
20:07:23,811.69,384.2,16.51,112.07,0,0,0,96
20:07:23,750.09,386.53,11.66,103.22,0,0,0,97
20:07:23,678.47,386.35,11.46,53.9,0,0,0,98
20:07:23,786.91,385.36,15.84,87.83,0,0,0,99
20:07:23,786.76,386.02,14.86,108.62,0,0,0,100
20:07:23,677.86,383.12,8.77,57.98,0,0,0,101
20:07:23,746.97,382.71,15.29,68.5,0,0,0,102
20:07:23,813.01,388.73,12.54,113.08,0,0,0,103
20:07:23,708.61,388.18,8.56,81.62,0,0,0,104
20:07:23,707.53,384.1,9.96,58.58,0,0,0,105
20:07:23,812.61,385.15,13.27,106.93,0,0,0,106
20:07:23,746.94,381.6,13.85,96.72,0,0,0,107
20:07:23,679.08,381.28,10.54,51.77,0,0,0,108
20:07:23,784.74,384.02,14.6,90.37,0,0,0,109
20:07:23,786.79,384.38,15.34,110.26,0,0,0,110
20:07:23,683.67,381.48,9.6,64.31,0,0,0,111
20:07:23,747.8,379.88,15.45,71.86,0,0,0,112
20:07:23,811.8,383.15,14.01,112.03,0,0,0,113
20:07:23,706.93,382.69,9.19,81.02,0,0,0,114
20:07:23,705.05,380.19,9.86,57.74,0,0,0,115
20:07:23,812.77,387.04,16.68,107.8,0,0,0,116
20:07:23,750.21,383.94,12.9,101.04,0,0,0,117
20:07:23,685.46,383.45,9.27,55.23,0,0,0,118
20:07:23,792.09,386.9,17.8,92.52,0,0,0,119
20:07:23,789.7,386.92,15.33,109.64,0,0,0,120
20:07:23,678.85,384.44,6.32,64.26,0,0,0,121
20:07:23,749.59,383.58,11.92,76.31,0,0,0,122
20:07:23,813.97,382.4,14.1,117.24,0,0,0,123
20:07:23,705.62,383.08,9.42,81.65,0,0,0,124
20:07:23,709.45,384.45,11.35,59.3,0,0,0,125
20:07:23,811.01,386.3,14.02,110.7,0,0,0,126
20:07:23,750.81,383.81,14.43,102.08,0,0,0,127
20:07:23,680.1,383.54,9.88,57.01,0,0,0,128
20:07:23,791.11,378.41,15.37,96.59,0,0,0,129
20:07:23,790.12,380.6,17.69,110.03,0,0,0,130
20:07:23,679.38,379.11,12.83,61.41,0,0,0,131
20:07:23,747.53,376.46,12.8,70.13,0,0,0,132
20:07:23,809.38,380.4,17.8,111.41,0,0,0,133
20:07:23,709.43,381.31,10.81,82.63,0,0,0,134
20:07:23,708.43,377.74,11.51,56.09,0,0,0,135
20:07:23,810.72,380.02,12.26,107.28,0,0,0,136
20:07:23,747.77,378.27,11.22,99.67,0,0,0,137
20:07:23,676.67,379.98,6.74,52.34,0,0,0,138
20:07:23,788.4,379.12,15.9,88.54,0,0,0,139
20:07:23,791.22,384.54,14.08,111.17,0,0,0,140
20:07:23,685.55,379.29,7.87,60.98,0,0,0,141
20:07:23,752.51,380.45,18.42,72.26,0,0,0,142
20:07:23,811.18,380.26,16.83,109.6,0,0,0,143
20:07:23,710.27,382.09,9.65,78.81,0,0,0,144
20:07:23,710.03,379.79,11.61,54.57,0,0,0,145
20:07:23,816.21,385.04,18.62,105.23,0,0,0,146
20:07:23,753.6,379.65,15.47,96.83,0,0,0,147
20:07:23,683.24,376.4,10.56,50.31,0,0,0,148
20:07:23,793.12,380.22,18.8,93.63,0,0,0,149
20:07:23,795.2,383.51,14.3,112.03,0,0,0,150
20:07:23,679.78,379.1,7.82,58.48,0,0,0,151
20:07:23,750.01,382.57,12.75,72.02,0,0,0,152
20:07:23,811.93,383.06,19.01,110.82,0,0,0,153
20:07:23,707.31,378.17,10.17,76.13,0,0,0,154
20:07:23,706.02,379,10.22,54.68,0,0,0,155
20:07:23,813.43,382.13,16.38,104.01,0,0,0,156
20:07:23,750.35,378.46,13.24,95.3,0,0,0,157
20:07:23,678.24,380.45,10.75,52.12,0,0,0,158
20:07:23,789.9,379.46,14.16,89.53,0,0,0,159
20:07:23,785.03,378.2,15.8,107.64,0,0,0,160
20:07:23,676.85,379.34,9.52,62.73,0,0,0,161
20:07:23,743.72,376.32,14.87,67.02,0,0,0,162
20:07:23,808.07,375.47,12.2,110.03,0,0,0,163
20:07:23,707,377.38,9.12,80.84,0,0,0,164
20:07:23,700.45,376.62,12.15,58.19,0,0,0,165
20:07:23,808.18,376.62,16.84,101.79,0,0,0,166
20:07:23,747.53,377.62,13.01,93.94,0,0,0,167
20:07:23,676.54,373.56,7.03,51.38,0,0,0,168
20:07:23,786.86,377.98,19.22,88.94,0,0,0,169
20:07:23,791.73,378.43,15.31,110.16,0,0,0,170
20:07:23,678.58,378.66,6.67,64.08,0,0,0,171
