TS,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,,IndexId
20:25:25,948.48,256.75,-111.76,-437.87,0,0,0,,92
20:25:25,989.2,312.05,-54.05,-384.74,0,0,0,,93
20:25:25,1000.51,342.76,-88.65,-417.71,0,0,0,,94
20:25:25,948.7,282.68,-120.39,-453.67,0,0,0,,95
20:25:25,964.89,307.55,-74.72,-398.22,0,0,0,,96
20:25:25,1007.47,333.98,-73.65,-404.05,0,0,0,,97
20:25:25,967.25,302,-123.38,-449.5,0,0,0,,98
20:25:25,957.42,277.79,-87.65,-414.94,0,0,0,,99
20:25:25,1004.08,342.78,-58.51,-382.68,0,0,0,,100
20:25:25,992.41,325.17,-96.22,-430.65,0,0,0,,101
20:25:25,947.24,277.71,-112.39,-439.29,0,0,0,,102
20:25:25,990.86,307.28,-60.06,-391.87,0,0,0,,103
20:25:25,996.42,343.9,-92.2,-427.2,0,0,0,,104
20:25:25,957.22,290.95,-119.21,-449.13,0,0,0,,105
20:25:25,965.49,280.29,-78.32,-410.81,0,0,0,,106
20:25:25,1007.59,342.37,-70.85,-405.06,0,0,0,,107
20:25:25,970.73,303.63,-120.3,-448.47,0,0,0,,108
20:25:25,957.13,271.94,-91.84,-419.07,0,0,0,,109
20:25:25,998.02,334.57,-66.43,-398.32,0,0,0,,110
20:25:25,981.13,306.41,-114.27,-443.63,0,0,0,,111
20:25:25,943.45,272.42,-122.24,-445.61,0,0,0,,112
20:25:25,987.38,312.16,-59.82,-393.6,0,0,0,,113
20:25:25,996.2,319.46,-97.42,-426.72,0,0,0,,114
20:25:25,950.51,271.86,-132.23,-461.18,0,0,0,,115
20:25:25,973.81,291.94,-73.51,-399.07,0,0,0,,116
20:25:25,1010.15,354.71,-70.37,-403.71,0,0,0,,117
20:25:25,971.46,319.15,-118.54,-448.48,0,0,0,,118
20:25:25,951.63,273.85,-92.25,-426.97,0,0,0,,119
20:25:25,998.92,322.23,-66.73,-398.09,0,0,0,,120
20:25:25,986.17,305.24,-108.93,-436.53,0,0,0,,121
20:25:25,941.59,271.97,-123.5,-451.07,0,0,0,,122
20:25:25,982.95,299.97,-65.11,-391.15,0,0,0,,123
20:25:25,996.84,316.7,-99.03,-427.69,0,0,0,,124
20:25:25,950.24,277.54,-131.63,-458.41,0,0,0,,125
20:25:25,962.87,293.69,-76.08,-408.47,0,0,0,,126
20:25:25,1000.11,343.28,-83.04,-415.73,0,0,0,,127
20:25:25,971.99,300.91,-117.71,-442.4,0,0,0,,128
20:25:25,950.96,279.52,-97.62,-424.25,0,0,0,,129
20:25:25,1003.58,341.67,-54.44,-392.22,0,0,0,,130
20:25:25,991.51,314.17,-102.04,-432.18,0,0,0,,131
20:25:25,946.25,266.61,-111.51,-443,0,0,0,,132
20:25:25,980.21,318.21,-63.41,-389.26,0,0,0,,133
20:25:25,1005.36,333.83,-85.57,-417.4,0,0,0,,134
20:25:25,955.61,282.88,-123.39,-446.03,0,0,0,,135
20:25:25,964.97,306.79,-70.18,-398.01,0,0,0,,136
20:25:25,1004.67,345.91,-71.02,-404.11,0,0,0,,137
20:25:25,972.98,302.27,-117.76,-449.69,0,0,0,,138
20:25:25,953.06,271.71,-93.25,-419.67,0,0,0,,139
20:25:25,993.84,328.3,-68.72,-400.15,0,0,0,,140
20:25:25,989.34,316.49,-106.09,-434.52,0,0,0,,141
20:25:25,950.97,282.2,-107.08,-433.32,0,0,0,,142
20:25:25,983.65,306.51,-62.84,-390.87,0,0,0,,143
20:25:25,992.61,337.55,-90.74,-419.58,0,0,0,,144
20:25:25,950.54,282.72,-130.22,-455.31,0,0,0,,145
20:25:25,965.12,299.23,-71.9,-398.06,0,0,0,,146
20:25:25,1006.62,338.35,-70.4,-402,0,0,0,,147
20:25:25,973.31,297.3,-121.13,-452.39,0,0,0,,148
20:25:25,958.6,287.23,-86.93,-411.57,0,0,0,,149
20:25:25,1000.77,320.85,-62.08,-396.86,0,0,0,,150
20:25:25,983.22,322.65,-105.08,-437.28,0,0,0,,151
20:25:25,949.23,276.96,-111.17,-436.45,0,0,0,,152
20:25:26,993.95,307.84,-51.94,-384.72,0,0,0,,153
20:25:26,997.75,328.83,-93.59,-420.78,0,0,0,,154
20:25:26,955.41,294.1,-121.86,-448.75,0,0,0,,155
20:25:26,971.28,275.21,-75.64,-402.9,0,0,0,,156
20:25:26,1001.23,333.45,-74.46,-408.29,0,0,0,,157
20:25:26,967.08,301.56,-120.51,-448.01,0,0,0,,158
20:25:26,952.75,277.56,-93.74,-418.91,0,0,0,,159
20:25:26,999.87,329.99,-64.87,-399.12,0,0,0,,160
20:25:26,989.6,328.11,-100.58,-444.41,0,0,0,,161
20:25:26,948.83,274.34,-111.69,-438.57,0,0,0,,162
20:25:26,980.34,333.54,-60.08,-386.51,0,0,0,,163
20:25:26,1004.32,324.08,-89.37,-419.72,0,0,0,,164
20:25:26,960.28,292.91,-121.05,-449.9,0,0,0,,165
20:25:26,965.12,291.41,-74.82,-401.75,0,0,0,,166
20:25:26,1007,325.17,-73.03,-402.2,0,0,0,,167
20:25:26,967.46,298.53,-124.93,-460.09,0,0,0,,168
20:25:26,953.84,280.67,-95.26,-417.01,0,0,0,,169
20:25:26,997.66,333.34,-66.56,-392.62,0,0,0,,170
20:25:26,980.4,331.07,-112,-443.48,0,0,0,,171
20:25:26,953.71,270.26,-109.29,-436.82,0,0,0,,172
20:25:26,992.44,320.31,-56.16,-388.21,0,0,0,,173
20:25:26,993.3,344.14,-96.51,-427.78,0,0,0,,174
20:25:26,956.99,264.01,-122.73,-452.38,0,0,0,,175
20:25:26,963.78,289.68,-76.9,-405.78,0,0,0,,176
20:25:26,999.69,335.32,-81.47,-416.99,0,0,0,,177
20:25:26,968.73,301.45,-123.18,-445.91,0,0,0,,178
20:25:26,956,279.55,-89.31,-418.43,0,0,0,,179
20:25:26,1006.17,340.85,-51.68,-386.44,0,0,0,,180
20:25:26,989.56,313.17,-108.1,-439.08,0,0,0,,181
20:25:26,955.96,273.27,-108.07,-430.65,0,0,0,,182
20:25:26,992.63,323.46,-54.69,-380.61,0,0,0,,183
20:25:26,1006.1,328.93,-91.41,-419.1,0,0,0,,184
20:25:26,949.16,269.8,-128.74,-457.26,0,0,0,,185
20:25:26,964.35,293.83,-73,-399.66,0,0,0,,186
20:25:26,1008.92,336.27,-66.9,-397.92,0,0,0,,187
20:25:26,964.62,296.37,-126.68,-451.22,0,0,0,,188
20:25:26,957.19,270.1,-87,-410.84,0,0,0,,189
20:25:26,997.24,325.77,-64.49,-393.26,0,0,0,,190
20:25:26,983.2,327.31,-108.26,-442.83,0,0,0,,191
20:25:26,947.45,264.86,-109.15,-440.52,0,0,0,,192
20:25:26,989.93,318.54,-54.76,-385.42,0,0,0,,193
20:25:26,1000.08,335.85,-90.17,-425.19,0,0,0,,194
20:25:26,945.96,279.68,-133.78,-463.44,0,0,0,,195
20:25:26,968.09,283.06,-70.46,-396.65,0,0,0,,196
20:25:26,1004.25,336.69,-74.6,-405.21,0,0,0,,197
20:25:26,969.6,295.1,-116.58,-449.19,0,0,0,,198
20:25:26,951.77,282.57,-92.12,-418.74,0,0,0,,199
20:25:26,1006.71,332.07,-55.13,-385.76,0,0,0,,200
20:25:26,987.83,321.3,-105.15,-440.64,0,0,0,,0
20:25:26,940.69,271.01,-110.09,-443.65,0,0,0,,1
20:25:26,975.75,324.77,-67.48,-392.61,0,0,0,,2
20:25:26,1008.18,310.92,-86.01,-417.41,0,0,0,,3
20:25:26,949.45,279.96,-127.4,-457.34,0,0,0,,4
20:25:26,972.4,299.46,-64.92,-397.3,0,0,0,,5
20:25:26,1012.18,339.82,-72.83,-399.8,0,0,0,,6
20:25:26,960.94,298.59,-126.74,-456.86,0,0,0,,7
20:25:26,946.44,263.64,-99.29,-427.98,0,0,0,,8
20:25:26,1002.16,332.2,-61.87,-393.14,0,0,0,,9
20:25:26,991.47,321.46,-100.49,-435.89,0,0,0,,10
20:25:26,950.93,275.16,-110.28,-434.37,0,0,0,,11
20:25:26,988.84,319.44,-57.34,-391.72,0,0,0,,12
